"#PlayStation5","Philadelphia","2020-11-13T00:48:22Z",17,77224
"#ThursdayThoughts","Philadelphia","2020-11-13T00:48:22Z",18,54701
"Freddie Freeman","Philadelphia","2020-11-13T00:48:22Z",19,0
"Colts","Philadelphia","2020-11-13T00:48:22Z",20,18629
"Abreu","Philadelphia","2020-11-13T00:48:22Z",21,18680
"Ryan Tepera","Philadelphia","2020-11-13T00:48:22Z",22,0
"AL MVP","Philadelphia","2020-11-13T00:48:22Z",23,0
"Rand Paul","Philadelphia","2020-11-13T00:48:22Z",24,10393
"Mikey Williams","Philadelphia","2020-11-13T00:48:22Z",25,0
"Big Sur","Philadelphia","2020-11-13T00:48:22Z",26,18945
"Mark Cuban","Philadelphia","2020-11-13T00:48:22Z",27,0
"Demar","Philadelphia","2020-11-13T00:48:22Z",28,16245
"CISA","Philadelphia","2020-11-13T00:48:22Z",29,46637
"DeRozan","Philadelphia","2020-11-13T00:48:22Z",30,15348
"The PS5","Philadelphia","2020-11-13T00:48:22Z",31,319603
"Cleo","Philadelphia","2020-11-13T00:48:22Z",32,18334
"Titans ML","Philadelphia","2020-11-13T00:48:22Z",33,0
"Unus Annus","Philadelphia","2020-11-13T00:48:22Z",34,22078
"Pico","Philadelphia","2020-11-13T00:48:22Z",35,21905
"Dianne","Philadelphia","2020-11-13T00:48:22Z",36,0
"Ken Walker","Philadelphia","2020-11-13T00:48:22Z",37,0
"Deutsche Bank","Philadelphia","2020-11-13T00:48:22Z",38,27364
"Kemba","Philadelphia","2020-11-13T00:48:22Z",39,0
"Cornyn","Philadelphia","2020-11-13T00:48:22Z",40,0
"Franzen","Philadelphia","2020-11-13T00:48:22Z",41,0
"DID I STUTTER","Philadelphia","2020-11-13T00:48:22Z",42,0
"Future and Uzi","Philadelphia","2020-11-13T00:48:22Z",43,0
"billie","Philadelphia","2020-11-13T00:48:22Z",44,154465
"Miles Morales","Philadelphia","2020-11-13T00:48:22Z",45,41602
"Golden Goose","Philadelphia","2020-11-13T00:48:22Z",46,80955
"vernon","Philadelphia","2020-11-13T00:48:22Z",47,18239
"Kevin McCarthy","Philadelphia","2020-11-13T00:48:22Z",48,16924
"Mayorkun","Philadelphia","2020-11-13T00:48:22Z",49,18213
"Astro's Playroom","Philadelphia","2020-11-13T00:48:22Z",50,0
"Walmart","Philadelphia","2020-11-12T15:09:42Z",1,59898
"#themasters","Philadelphia","2020-11-12T15:09:42Z",2,31385
"#ThursdayThoughts","Philadelphia","2020-11-12T15:09:42Z",3,32483
"#PlayStation5","Philadelphia","2020-11-12T15:09:42Z",4,66213
"Best Buy","Philadelphia","2020-11-12T15:09:42Z",5,32281
"#TrumpIsPathetic","Philadelphia","2020-11-12T15:09:42Z",6,22098
"#WeLostTheSummer","Philadelphia","2020-11-12T15:09:42Z",7,68484
"Big Jim","Philadelphia","2020-11-12T15:09:42Z",8,21805
"Happy Founders","Philadelphia","2020-11-12T15:09:42Z",9,0
"Doctors Without Borders","Philadelphia","2020-11-12T15:09:42Z",10,0
